cellId,flooded,permWater,clearPerc,eventId,dfoMainCause,dfoSeverity,elevationM,slopeDegrees,landCoverClass,imperviousPct,distanceToWaterM,distanceToRoadM,femaSfha,relativeElevationZ
cell-006-008,1,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,-1.506100058555603,0.0,11,0,446.4780766738831,0.0,True,-0.974
cell-008-004,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,9.998104095458984,1.615506887435913,22,26,16.66448339447379,0.0,True,-0.226
cell-008-005,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,1.867436170578003,0.3839227259159088,21,7,0.0,0.0,True,-0.755
cell-008-006,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,2.000452756881714,1.7216662168502808,22,23,0.0,0.0,True,-0.746
cell-008-007,1,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,5.159916877746582,5.742607593536377,22,20,86.65814134292305,0.0,True,-0.541
cell-008-009,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,-1.4709826707839966,1.0440728664398193,11,0,315.38797973266765,0.0,True,-0.972
cell-008-010,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,6.545597076416016,1.789899468421936,21,7,511.93972815235344,0.0,True,-0.451
cell-009-004,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,2.362980604171753,1.6390091180801392,21,18,0.0,0.0,True,-0.723
cell-009-005,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,2.9997756481170654,0.27498239278793335,23,72,0.0,0.0,True,-0.681
cell-009-006,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,2.4917490482330322,2.668900728225708,21,4,0.0,0.0,True,-0.714
cell-009-007,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,-0.6684228181838989,1.4859764575958252,21,16,0.0,0.0,True,-0.92
cell-009-008,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,3.4698169231414795,4.666257381439209,21,8,24.66119675221853,0.0,True,-0.651
cell-009-009,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,2.464578628540039,0.8715907335281372,21,11,269.63515616505646,0.0,True,-0.716
cell-009-010,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,8.828875541687012,1.1403391361236572,21,3,395.40058316860905,0.0,True,-0.302
cell-009-011,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,6.622949123382568,0.7129396200180054,22,40,162.7840256096812,0.0,True,-0.446
cell-010-004,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,3.8009727001190186,1.6396609544754028,24,85,58.41637281887233,0.0,True,-0.629
cell-010-005,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,2.5735206604003906,1.4931634664535522,23,57,0.0,0.0,True,-0.709
cell-010-006,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,2.974048376083374,2.9342517852783203,42,0,0.0,0.0,True,-0.683
cell-010-007,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,0.0023074063938111067,0.5402578711509705,21,11,0.0,0.0,True,-0.876
cell-010-008,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,0.17667308449745178,0.4880925416946411,21,4,18.5726633007871,0.0,True,-0.865
cell-010-009,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,3.9156463146209717,4.467867851257324,21,9,248.26953845453625,0.0,True,-0.622
cell-010-010,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,6.31579065322876,1.5978670120239258,21,1,383.0124497739598,0.0,False,-0.466
cell-010-011,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,7.049269199371338,1.2344388961791992,21,6,133.01244977395982,0.0,False,-0.418
cell-011-003,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,16.960216522216797,1.9618394374847412,22,29,343.1938459796671,0.0,False,0.226
cell-011-004,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,5.141425609588623,7.695683002471924,22,32,245.74183324162766,0.0,False,-0.542
cell-011-005,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,8.558568000793457,8.783283233642578,21,16,14.010876367916353,0.0,True,-0.32
cell-011-006,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,3.2809579372406006,4.160253047943115,21,7,0.0,0.0,True,-0.663
